6677,0,1,3,-34.99,0.00,0.00,0.00,0.00,-0.22,-0.13,0,0,0
6785,0,2,3,-34.99,0.00,0.00,0.00,0.00,-0.22,-0.13,2,0,0
6894,0,2,3,-34.99,0.00,0.00,0.00,0.00,-0.22,-0.13,1,0,0
6994,0,2,3,0.00,0.00,0.00,0.00,0.00,-0.22,-0.13,2,0,0
7094,0,2,3,0.00,0.00,0.00,0.00,0.00,-0.22,-0.13,0,0,0
7205,2,2,3,1.57,0.00,0.00,-1.57,0.00,0.22,-0.13,0,0,0
7316,2,2,3,6.26,0.00,0.00,-4.70,0.00,3.48,-0.13,7,0,0
7416,2,2,3,9.34,0.00,0.00,-7.80,0.00,6.12,-0.13,5,0,0
7525,2,2,3,12.42,0.00,0.00,-12.42,0.00,9.90,-0.13,32,0,0
7635,2,2,3,15.31,0.00,0.00,-15.31,0.00,13.16,-0.13,18,0,0
7745,2,2,3,18.16,0.00,0.00,-18.16,0.00,16.68,-0.13,10,0,0
7855,2,2,3,20.90,0.00,0.00,-20.90,0.00,19.32,-0.13,3,0,0
7966,2,2,3,24.76,0.00,0.00,-23.51,0.00,22.40,-0.13,0,0,0
8075,2,2,3,27.15,0.00,0.00,-27.15,0.00,25.13,-0.13,17,0,0
8184,2,2,3,29.37,0.00,0.00,-29.37,0.00,27.59,-0.13,23,0,0
8294,2,2,3,31.41,0.00,0.00,-31.41,0.00,30.23,-0.13,6,0,0
8404,2,2,3,33.26,0.00,0.00,-33.26,0.00,32.08,-0.13,2,0,0
8504,2,2,3,34.90,0.00,0.00,-34.90,0.00,33.66,-0.13,2,0,0
8615,2,2,3,36.95,0.00,0.00,-36.33,0.00,35.42,-0.13,9,0,0
8724,2,2,3,38.04,0.00,0.00,-38.04,0.00,36.74,-0.13,8,0,0
8834,2,2,3,38.89,0.00,0.00,-38.89,0.00,37.71,-0.13,9,0,0
8943,2,2,3,39.51,0.00,0.00,-39.51,0.00,38.50,-0.13,9,0,0
9043,2,2,3,39.88,0.00,0.00,-39.88,0.00,39.12,-0.13,8,0,0
9143,2,2,3,40.00,0.00,0.00,-40.00,0.00,39.30,-0.13,8,0,0
9254,2,2,3,39.88,0.00,0.00,-39.88,0.00,39.30,-0.13,7,0,0
9354,2,2,3,39.51,0.00,0.00,-39.51,0.00,39.21,-0.13,1,0,0
9454,2,2,3,38.89,0.00,0.00,-38.89,0.00,39.03,-0.13,-2,0,0
9566,2,2,3,37.53,0.00,0.00,-38.04,0.00,38.59,-0.13,-6,0,0
9675,2,2,3,36.33,0.00,0.00,-36.33,0.00,37.62,-0.13,-11,0,0
9775,2,2,3,34.90,0.00,0.00,-35.60,0.00,36.66,-0.13,-5,0,0
9875,2,2,3,33.26,0.00,0.00,-34.07,0.00,35.07,-0.13,-1,0,0
9975,2,2,3,31.41,0.00,0.00,-32.31,0.00,33.49,-0.13,3,0,0
10075,2,2,3,29.37,0.00,0.00,-30.20,0.00,31.90,-0.13,-8,0,0
10175,2,2,3,27.15,0.00,0.00,-28.23,0.00,29.35,-0.13,-4,0,0
10275,2,2,3,24.76,0.00,0.00,-25.92,0.00,27.24,-0.13,-5,0,0
10385,2,2,3,22.22,0.00,0.00,-22.22,0.00,24.42,-0.13,-28,0,0
10494,2,2,3,19.54,0.00,0.00,-19.54,0.00,21.43,-0.13,-37,0,0
10594,2,2,3,16.75,0.00,0.00,-16.75,0.00,18.88,-0.13,-12,0,0
10694,2,2,3,13.84,0.00,0.00,-13.84,0.00,15.98,-0.13,-6,0,0
10794,2,2,3,10.86,0.00,0.00,-10.86,0.00,13.25,-0.13,-1,0,0
10894,2,2,3,7.76,0.00,0.00,-7.76,0.00,10.17,-0.13,-7,0,0
10994,2,2,3,4.70,0.00,0.00,-4.70,0.00,7.00,-0.13,-9,0,0
11094,2,2,3,1.57,0.00,0.00,-1.57,0.00,3.83,-0.13,-16,0,0
11194,2,2,3,-1.57,0.00,0.00,1.57,0.00,0.66,-0.13,-20,0,0
11294,2,2,3,-4.70,0.00,0.00,4.70,0.00,-2.42,-0.13,-15,0,0
11394,2,2,3,-7.80,0.00,0.00,7.80,0.00,-5.58,-0.13,-16,0,0
11494,2,2,3,-10.86,0.00,0.00,10.86,0.00,-8.49,-0.13,-19,0,0
11594,2,2,3,-13.84,0.00,0.00,13.84,0.00,-11.57,-0.13,-7,0,0
11694,2,2,3,-16.75,0.00,0.00,16.75,0.00,-14.47,-0.13,-20,0,0
11794,2,2,3,-19.55,0.00,0.00,19.55,0.00,-17.55,-0.13,-9,0,0
11894,2,2,3,-22.22,0.00,0.00,22.22,0.00,-20.28,-0.13,-12,0,0
11994,2,2,3,-24.76,0.00,0.00,24.76,0.00,-22.74,-0.13,-8,0,0
12094,2,2,3,-27.15,0.00,0.00,27.15,0.00,-25.21,-0.13,-11,0,0
12194,2,2,3,-29.37,0.00,0.00,29.37,0.00,-27.41,-0.13,-12,0,0
12294,2,2,3,-31.41,0.00,0.00,31.41,0.00,-29.61,-0.13,-11,0,0
12394,2,2,3,-33.26,0.00,0.00,33.26,0.00,-31.63,-0.13,-8,0,0
